lemma,pos,synset,sense_key,n,n_conf,share,share_conf
value,n,value.n.01,value%1:09:00::,67401,65861,0.8231579975818566,0.863920771299272
value,n,value.n.02,value%1:07:00::,8010,6138,0.09782489222163872,0.08051419951465862
value,n,value.n.03,value%1:21:00::,4878,3428,0.0595742602068856,0.044966222863514135
value,n,value.n.06,value%1:09:01::,1477,759,0.018038372760469462,0.009956056929231981
value,v,value.v.01,value%2:31:03::,3763,1893,0.5272523469244781,0.8004228329809725
value,v,prize.v.01,value%2:40:00::,2419,435,0.33893792910186354,0.1839323467230444
very,a,very.s.01,very%5:00:00:precise:00,4509,1908,0.503292778211854,0.4468384074941452
very,a,identical.s.02,very%5:00:00:same:02,4450,2362,0.496707221788146,0.5531615925058548
very,r,very.r.01,very%4:02:00::,97427,96500,0.9943458425613129,0.9979317476732161
very,r,very.r.02,very%4:02:01::,554,200,0.005654157438687093,0.002068252326783868
way,n,manner.n.01,way%1:07:01::,41850,24713,0.43259390957391824,0.5387734635592666
way,n,means.n.01,way%1:04:01::,32524,17653,0.3361931735957495,0.38485687501362575
way,n,direction.n.01,way%1:15:00::,5994,650,0.06195861156478055,0.01417079073012274
way,n,way.n.07,way%1:04:02::,4166,751,0.043062992288768066,0.016372713597418737
way,n,way.n.04,way%1:26:00::,3750,944,0.03876289512311096,0.020580348383439796
way,n,way.n.05,way%1:04:00::,3583,430,0.037036654193628414,0.00937452309838889
way,n,room.n.02,way%1:23:00::,2651,580,0.027402782659031236,0.012644705574571062
well,a,good.s.13,well%5:00:00:fortunate:00,41877,10817,0.5511654536121823,0.5151442994570912
well,a,well.s.03,well%5:00:00:advisable:00,17903,5638,0.23563089801129258,0.26850176207257836
well,a,well.a.01,well%3:00:01::,16199,4543,0.21320364837652508,0.21635393847033052
well,n,well.n.02,well%1:06:03::,5611,5171,0.4899580859238561,0.5004839334107627
well,n,well.n.01,well%1:06:00::,4354,4024,0.3801955990220049,0.3894696089818041
well,n,well.n.03,well%1:10:00::,1479,1136,0.12914774711840726,0.10994967092528068
well,r,well.r.01,well%4:02:00::,50426,25123,0.5178004826205268,0.8275850709885694
well,r,well.r.02,well%4:02:05::,42104,3005,0.4323458438157827,0.0989887011232994
well,r,well.r.03,well%4:02:03::,2876,2119,0.029532268829901936,0.06980268142438317
work,n,work.n.01,work%1:04:00::,44010,26564,0.45601019572898427,0.4141436188456861
work,n,work.n.02,work%1:06:00::,33691,26622,0.3490897410657852,0.4150478625549562
work,n,employment.n.02,work%1:04:01::,16886,10287,0.1749645118173058,0.16037853512519099
work,n,workplace.n.01,work%1:06:01::,1116,240,0.011563448726051953,0.003741698107324374
work,n,work.n.05,work%1:19:00::,590,414,0.006113292785278362,0.006454429235134545
work,v,work.v.03,work%2:41:03::,30463,14211,0.31796215307858505,0.34949092518813635
work,v,work.v.02,work%2:41:00::,26488,17593,0.2764724915715971,0.4326644041119473
work,v,work.v.01,work%2:41:02::,22089,6142,0.23055726617053035,0.1510501205056318
work,v,function.v.01,work%2:35:02::,7671,351,0.08006721847046666,0.008632138114209827
work,v,solve.v.01,work%2:31:13::,2685,1612,0.02802509211226737,0.039643893561556245
work,v,work.v.05,work%2:36:00::,1205,272,0.012577369085766175,0.006689292213860607
