lemma,pos,synset,sense_key,n,n_conf,share
set,v,set.v.10,set%2:38:00::,209,192,0.0024201859721852312
set,v,jell.v.01,set%2:30:07::,142,66,0.0016443368806234584
set,v,rig.v.04,set%2:30:06::,137,43,0.0015864376946860127
size,a,size.s.01,size%5:00:00:sized:00,114,114,1.0
size,n,size.n.01,size%1:07:00::,81331,80234,0.9947651023128952
size,n,size.n.02,size%1:07:01::,331,35,0.004048483958952531
size,v,size.v.03,size%2:30:00::,1723,987,0.8200856734888149
size,v,size.v.02,size%2:31:00::,348,55,0.16563541170871013
some,r,approximately.r.01,some%4:02:00::,183,183,1.0
state,n,state.n.02,state%1:03:00::,45691,44598,0.49539742602812503
state,n,state.n.01,state%1:15:01::,32621,22132,0.3536880224653316
state,n,state.n.04,state%1:14:00::,9975,2642,0.10815235658292766
state,n,state.n.03,state%1:14:01::,3539,196,0.03837104661122616
state,v,state.v.01,state%2:32:00::,66036,50960,0.9913529093856963
state,v,express.v.04,state%2:32:02::,416,96,0.00624512099921936
string,n,string.n.05,string%1:10:00::,54441,49554,0.7660301960066978
string,n,string.n.01,string%1:06:00::,8300,2749,0.11678791034065486
string,n,string.n.04,string%1:14:00::,2988,976,0.042043647722635746
string,n,string.n.08,string%1:17:00::,1655,1317,0.023287227905275154
string,n,string.n.03,string%1:06:03::,1631,744,0.022949527923567237
string,n,string.n.09,string%1:06:04::,1189,53,0.01673021992711309
string,n,bowed_stringed_instrument.n.01,string%1:06:05::,691,511,0.009722945306673796
string,n,string.n.07,string%1:27:00::,42,35,0.0005909749679888559
string,v,string.v.07,string%2:35:00::,321,34,0.3159448818897638
study,n,survey.n.01,study%1:04:00::,90192,77528,0.9267570900123304
study,n,report.n.01,study%1:10:00::,3767,747,0.03870735717221537
study,n,study.n.02,study%1:09:03::,2420,1035,0.024866420057542128
study,n,discipline.n.01,study%1:09:02::,531,52,0.005456226880394575
study,n,sketch.n.01,study%1:06:01::,175,70,0.0017981915330867243
study,n,study.n.05,study%1:06:00::,151,118,0.0015515824085491163
study,v,analyze.v.01,study%2:31:02::,44141,39000,0.8513375378502961
study,v,study.v.02,study%2:31:03::,5884,2955,0.11348338444328723
such,a,such.s.01,such%5:00:00:much:00,93578,93578,1.0
system,n,system.n.01,system%1:06:00::,64757,54003,0.6758968364141156
system,n,system.n.03,system%1:27:00::,14446,11269,0.1507791543591938
system,n,system.n.06,system%1:08:00::,6502,3992,0.06786418812428895
system,n,system.n.02,system%1:14:00::,4969,582,0.05186360362805165
system,n,arrangement.n.03,system%1:09:02::,1910,422,0.019935496665240218
system,n,system.n.04,system%1:09:00::,1721,117,0.017962821864334247
system,n,system.n.08,system%1:08:01::,1332,109,0.013902660501623022
table,n,table.n.01,table%1:14:00::,65155,64398,0.7985366391724781
table,n,table.n.02,table%1:06:01::,14987,12847,0.18367997254666454
table,n,board.n.04,table%1:13:01::,877,287,0.010748471069822166
table,n,table.n.05,table%1:14:01::,292,87,0.0035787383721642787
table,n,mesa.n.01,table%1:17:00::,194,135,0.002377654945889966
table,v,postpone.v.01,table%2:42:00::,308,276,0.5703703703703704
table,v,table.v.02,table%2:36:00::,232,216,0.42962962962962964
test,n,trial.n.02,test%1:09:02::,66220,10370,0.766541649303144
test,n,test.n.05,test%1:04:00::,10085,479,0.11674075103023568
test,n,test.n.02,test%1:04:02::,8184,1789,0.09473537991387693
test,n,examination.n.02,test%1:10:00::,1740,294,0.02014168634532574
test,v,test.v.01,test%2:41:00::,43445,37844,0.8727575885413528
test,v,screen.v.01,test%2:41:01::,5043,3102,0.1013077803893208
test,v,test.v.06,test%2:32:08::,658,37,0.013218425440446775
test,v,quiz.v.01,test%2:32:00::,416,33,0.008356937664476989
text,n,text.n.01,text%1:10:00::,52086,44283,0.9769666504107739
text,n,textbook.n.01,text%1:10:02::,591,246,0.011085268409798552
then,a,then.s.01,then%5:00:00:past:00,151,151,1.0
then,r,then.r.01,then%4:02:00::,54322,47829,0.5977924750470447
then,r,then.r.02,then%4:02:02::,29263,25916,0.32202792970254535
then,r,then.r.03,then%4:02:01::,7286,5623,0.08017959525040992
there,n,there.n.01,there%1:15:00::,36,36,1.0
there,r,there.r.01,there%4:02:00::,92329,86035,0.9532703525889216
there,r,there.r.02,there%4:02:02::,3918,1442,0.04045222239430076
three,n,three.n.01,three%1:23:00::,188,188,0.9947089947089947
through,a,through.s.02,through%5:00:00:direct:00,244,93,0.7011494252873564
through,r,through.r.01,through%4:02:03::,1769,249,0.41168256923434954
through,r,through.r.03,through%4:02:04::,1166,276,0.2713521061205492
time,n,time.n.02,time%1:28:05::,36857,26093,0.38449581672891153
time,n,time.n.01,time%1:11:00::,36647,25103,0.3823050762586326
time,n,time.n.03,time%1:28:00::,9817,3647,0.10241190093680236
time,n,time.n.05,time%1:03:00::,5116,1784,0.05337061069498633
time,n,time.n.04,time%1:28:06::,3406,1672,0.03553172400842913
time,n,clock_time.n.01,time%1:28:03::,1889,1061,0.01970623213503307
time,n,fourth_dimension.n.01,time%1:28:04::,970,152,0.010119134553193266
time,n,time.n.06,time%1:11:01::,627,247,0.006540925118404307
time,n,prison_term.n.01,time%1:28:01::,238,134,0.0024828391996494815
time,v,time.v.02,time%2:31:00::,1524,226,0.5740112994350283
time,v,clock.v.01,time%2:30:00::,836,51,0.31487758945386063
true,a,true.a.01,true%3:00:00::,73662,67980,0.9839442188501817
true,n,true.n.01,true%1:07:00::,118,118,1.0
true,r,true.r.01,true%4:02:00::,1314,1314,1.0
two,n,two.n.01,two%1:23:00::,57,57,1.0
type,n,type.n.01,type%1:09:00::,75123,68353,0.9166148102053516
type,n,type.n.04,type%1:10:01::,3204,1366,0.039093671071415495
type,n,type.n.05,type%1:10:00::,3000,465,0.03660456092829167
type,n,character.n.05,type%1:18:00::,454,312,0.005539490220481472
type,v,type.v.01,type%2:32:00::,5744,5589,0.5649095200629426
type,v,type.v.02,type%2:31:00::,4424,4199,0.43509047993705746
under,a,nether.s.03,under%5:00:00:low:01,282,242,0.8057142857142857
under,r,under.r.05,under%4:02:03::,1397,741,0.6173221387538665
under,r,under.r.04,under%4:02:04::,430,105,0.19001325673884226
under,r,under.r.07,under%4:02:01::,319,102,0.14096332302253645
under,r,under.r.01,under%4:02:05::,93,62,0.0410958904109589
use,n,use.n.01,use%1:04:00::,88640,65954,0.934685872155556
use,n,function.n.02,use%1:07:00::,5001,774,0.052734251428812454
use,n,use.n.03,use%1:07:02::,1084,49,0.011430499609844571
use,v,use.v.01,use%2:34:01::,92739,91473,0.9842396841569027
use,v,use.v.06,use%2:41:03::,893,639,0.009477415520461878
use,v,use.v.03,use%2:34:00::,365,98,0.0038737476651383934
use,v,use.v.02,use%2:34:02::,227,109,0.0024091526574970285
used,a,used.a.01,used%3:00:00::,662,451,0.4681753889674682
used,a,secondhand.s.02,used%5:00:00:old:01,504,428,0.3564356435643564
value,n,value.n.01,value%1:09:00::,67401,65861,0.8231579975818566
value,n,value.n.02,value%1:07:00::,8010,6138,0.09782489222163872
value,n,value.n.03,value%1:21:00::,4878,3428,0.0595742602068856
value,n,value.n.06,value%1:09:01::,1477,759,0.018038372760469462
value,n,value.n.04,value%1:07:01::,112,47,0.0013678386927370209
value,v,value.v.01,value%2:31:03::,3763,1893,0.5272523469244781
value,v,prize.v.01,value%2:40:00::,2419,435,0.33893792910186354
value,v,respect.v.01,value%2:31:01::,841,32,0.11783662603334734
very,a,very.s.01,very%5:00:00:precise:00,4509,1908,0.503292778211854
very,a,identical.s.02,very%5:00:00:same:02,4450,2362,0.496707221788146
very,r,very.r.01,very%4:02:00::,97427,96500,0.9943458425613129
very,r,very.r.02,very%4:02:01::,554,200,0.005654157438687093
way,n,manner.n.01,way%1:07:01::,41850,24713,0.43259390957391824
way,n,means.n.01,way%1:04:01::,32524,17653,0.3361931735957495
way,n,direction.n.01,way%1:15:00::,5994,650,0.06195861156478055
way,n,way.n.07,way%1:04:02::,4166,751,0.043062992288768066
way,n,way.n.04,way%1:26:00::,3750,944,0.03876289512311096
way,n,way.n.05,way%1:04:00::,3583,430,0.037036654193628414
way,n,room.n.02,way%1:23:00::,2651,580,0.027402782659031236
way,n,way.n.06,way%1:06:00::,748,108,0.007731905480556532
way,r,way.r.01,way%4:02:00::,3578,3578,1.0
well,a,good.s.13,well%5:00:00:fortunate:00,41877,10817,0.5511654536121823
well,a,well.s.03,well%5:00:00:advisable:00,17903,5638,0.23563089801129258
well,a,well.a.01,well%3:00:01::,16199,4543,0.21320364837652508
well,n,well.n.02,well%1:06:03::,5611,5171,0.4899580859238561
well,n,well.n.01,well%1:06:00::,4354,4024,0.3801955990220049
well,n,well.n.03,well%1:10:00::,1479,1136,0.12914774711840726
well,r,well.r.01,well%4:02:00::,50426,25123,0.5178004826205268
well,r,well.r.02,well%4:02:05::,42104,3005,0.4323458438157827
well,r,well.r.03,well%4:02:03::,2876,2119,0.029532268829901936
well,r,well.r.06,well%4:02:07::,333,54,0.003419417774811316
well,v,well.v.01,well%2:38:00::,106,106,1.0
work,n,work.n.01,work%1:04:00::,44010,26564,0.45601019572898427
work,n,work.n.02,work%1:06:00::,33691,26622,0.3490897410657852
work,n,employment.n.02,work%1:04:01::,16886,10287,0.1749645118173058
work,n,workplace.n.01,work%1:06:01::,1116,240,0.011563448726051953
work,n,work.n.05,work%1:19:00::,590,414,0.006113292785278362
work,v,work.v.03,work%2:41:03::,30463,14211,0.31796215307858505
work,v,work.v.02,work%2:41:00::,26488,17593,0.2764724915715971
work,v,work.v.01,work%2:41:02::,22089,6142,0.23055726617053035
work,v,function.v.01,work%2:35:02::,7671,351,0.08006721847046666
work,v,solve.v.01,work%2:31:13::,2685,1612,0.02802509211226737
work,v,work.v.05,work%2:36:00::,1205,272,0.012577369085766175
work,v,shape.v.02,work%2:36:12::,1154,133,0.0120450489003935
work,v,work.v.08,work%2:41:04::,971,66,0.010134958823468014
work,v,exercise.v.03,work%2:29:00::,381,132,0.0039767449142547
work,v,bring.v.03,work%2:36:01::,265,85,0.0027659774337992003
work,v,work.v.10,work%2:38:02::,91,40,0.0009498262131159518
